.96 9506448
0.49 11.23 5379052
0.48 11.23 5384056
0.45 11.23 5390056
0.43 11.23 5395064
0.41 11.22 5401068
0.39 11.22 5407072
0.37 11.21 5413064
0.35 11.18 5419064
0.32 11.15 5425064
0.30 11.10 5431064
0.29 11.04 5437064
0.27 10.98 5442080
0.25 10.90 5448060
0.24 10.82 5453072
0.22 10.71 5459076
0.21 10.60 5465084
0.19 10.49 5471084
0.18 10.39 5477096
0.17 10.30 5483096
0.16 10.23 5488112
0.16 10.17 5494112
0.16 10.12 5500104
0.16 10.08 5506104
0.16 10.04 5512112
0.16 10.00 5518124
0.17 9.96 5524124
0.17 9.91 5529116
0.17 9.86 5534116
0.18 9.79 5539120
0.18 9.71 5544128
0.19 9.62 5549132
0.19 9.53 5554132
0.19 9.43 5559140
0.19 9.33 5564152
0.19 9.23 5569156
0.19 9.13 5574148
0.19 9.06 5579144
0.19 8.99 5584152
0.19 8.94 5589152
0.19 8.91 5594164
0.19 8.91 5599152
0.19 8.91 5604164
0.19 8.91 5609156
0.19 8.91 5614160
0.19 8.91 5619160
0.19 8.91 5624160
0.18 8.91 5629156
0.18 8.91 5634160
0.17 8.91 5639156
0.16 8.91 5644156
0.16 8.91 5649164
0.15 8.91 5654160
0.14 8.91 5659156
0.13 8.91 5664156
0.12 8.91 5669164
0.11 8.91 5674160
0.10 8.91 5679164
0.08 8.91 5684168
0.07 8.91 5689168
0.05 8.92 5694176
0.04 8.92 5699184
0.02 8.94 5704180
-0.00 8.96 5709192
-0.02 8.99 5714192
-0.04 9.02 5719204
-0.06 9.06 5724208
-0.09 9.11 5729200
-0.11 9.17 5734208
-0.14 9.24 5739212
-0.17 9.33 5745188
-0.19 9.40 5750200
-0.22 9.49 5755204
-0.25 9.58 5760200
-0.27 9.66 5765208
-0.30 9.75 5770216
-0.33 9.87 5776208
-0.36 9.96 5781216
-0.39 10.06 5786224
-0.42 10.16 5792216
-0.46 10.27 5798220
-0.50 10.36 5804224
-0.53 10.44 5810228
-0.57 10.50 5816236
-0.62 10.55 5822248
-0.65 10.58 5828244
-0.68 10.61 5834248
-0.72 10.64 5840252
-0.75 10.69 5846248
-0.79 10.76 5852244
-0.82 10.80 5858256
-0.83 10.80 5864264
-0.84 10.80 5870256
-0.85 10.81 5876264
-0.86 10.81 5882260
-0.86 10.82 5888264
-0.85 10.82 5894268
-0.85 10.82 5900268
-0.83 10.83 5906280
-0.81 10.83 5912280
-0.80 10.86 5918284
-0.79 10.89 5924284
-0.79 10.93 5930296
-0.79 10.96 5936292
-0.78 10.98 5942304
-0.77 10.98 5948304
-0.74 10.98 5954304
-0.71 10.98 5960304
-0.70 10.97 5966316
-0.68 10.97 5972308
-0.67 10.97 5978320
-0.67 10.97 5984328
-0.66 10.96 5989340
-0.64 10.95 5995336
