838219856
0.04 9.192820
0.53 12.02 9661504
0.53 11.97 9666752
0.52 11.93 9671808
0.51 11.89 9677056
0.51 11.85 9682064
0.50 11.81 9687308
0.49 11.77 9692560
0.48 11.73 9697564
0.47 11.69 9702792
0.45 11.66 9707836
0.44 11.62 9713084
0.43 11.58 9718092
0.41 11.55 9723340
0.40 11.51 9728580
0.38 11.48 9733484
0.37 11.44 9738712
0.35 11.41 9743724
0.34 11.37 9748840
0.32 11.34 9753872
0.30 11.30 9759124
0.29 11.27 9764428
0.27 11.23 9769364
0.25 11.20 9774620
0.23 11.17 9779624
0.21 11.13 9784848
0.19 11.10 9789900
0.18 11.06 9795140
0.16 11.03 9800152
0.14 11.00 9805380
0.12 10.96 9810652
0.10 10.93 9815632
0.08 10.90 9820876
0.06 10.86 9825940
0.04 10.83 9831208
0.03 10.80 9836176
0.01 10.77 9841444
-0.01 10.74 9846692
-0.03 10.72 9851688
-0.04 10.70 9856916
-0.06 10.68 9861976
-0.08 10.67 9867228
-0.09 10.66 9872228
-0.11 10.66 9877464
-0.12 10.66 9882704
-0.14 10.66 9887708
-0.15 10.67 9892960
-0.17 10.69 9897996
-0.18 10.71 9903256
-0.19 10.72 9908244
-0.21 10.74 9913500
-0.22 10.77 9918776
-0.24 10.79 9923744
-0.25 10.82 9928992
-0.26 10.85 9934048
-0.28 10.89 9939296
-0.29 10.92 9944308
-0.31 10.95 9949564
-0.32 10.99 9954812
-0.34 11.02 9959816
-0.35 11.06 9965044
-0.37 11.10 9970088
-0.39 11.13 9975264
-0.41 11.17 9980256
-0.43 11.21 9985420
-0.44 11.24 9990668
-0.45 11.28 9995624
-0.46 11.31 10000856
-0.47 11.35 10005860
-0.48 11.39 10011180
-0.49 11.43 10016292
-0.50 11.46 10021544
-0.51 11.50 10026888
-0.52 11.54 10031888
-0.53 11.58 10037216
-0.54 11.62 10042324
-0.56 11.66 10047596
-0.56 11.70 10052948
-0.57 11.74 10058044
-0.58 11.78 10063352
-0.59 11.82 10068364
-0.60 11.87 10073680
-0.60 11.91 10078952
-0.61 11.96 10083948
-0.62 12.00 10089188
-0.62 12.05 10094328
-0.63 12.10 10099532
-0.64 12.15 10104876
-0.64 12.20 10109788
-0.64 12.25 10115096
-0.65 12.31 10120108
-0.65 12.36 10125408
-0.65 12.42 10130408
-0.66 12.48 10135760
-0.66 12.54 10141112
-0.66 12.60 10146216
-0.66 12.67 10151508
-0.66 12.73 10156892
-0.66 12.79 10161808
-0.66 12.86 10167108
-0.66 12.91 10172120
-0.66 12.99 10177328
-0.66 13.06 10182436
-0.66 13.12 10187720
-0.66 13.18 10193076
-0.66 13.25 10198076
-0.66 13.31 10203332
-0.66 13.37 10208360
-0.66 13.43 10213632
-0.66 13.49 10218988
-0.66 13.54 10223916
-0.66 13.59 10229224
-0.66 13.64 10234232
-0.66 13.69 10239524
-0.66 13.73 10244532
-0.66 13.77 10249788
-0.66 13.80 10255156
-0.66 13.82 10260152
-0.66 13.84 10265400
-0.66 13.85 10270436
-0.66 13.86 10275704
-0.66 13.86 10281024
-0.66 13.86 10285976
-0.66 13.85 10291256
-0.66 13.84 10296272
-0.66 13.82 10301512
-0.66 13.79 10306612
-0.66 13.76 10311876
-0.66 13.73 10317264
-0.66 13.69 10322356
-0.66 13.65 10327664
-0.66 13.60 10332748
-0.66 13.55 10338016
-0.65 13.51 10343372
-0.65 13.45 10348476
-0.65 13.39 10353784
-0.64 13.33 10359140
-0.64 13.27 10364172
-0.64 13.21 10369492
-0.63 13.15 10374628
-0.63 13.08 10379828
-0.62 13.02 10385144
-0.61 12.96 10390076
-0.61 12.91 10395380
-0.60 12.83 10400484
-0.59 12.76 10405812
-0.58 12.70 10411156
-0.57 12.64 10416192
-0.56 12.58 10421520
-0.55 12.52 10426668
-0.54 12.46 10431872
-0.53 12.41 10437188
-0.52 12.35 10442120
-0.51 12.30 10447412
-0.50 12.25 10452448
-0.48 12.20 10457724
-0.47 12.15 10462832
-0.45 12.10 10468120
-0.44 12.06 10473420
-0.43 12.01 10478428
-0.41 11.97 10483636
-0.40 11.92 10488732
-0.38 11.88 10493996
-0.37 11.84 10499368
-0.35 11.80 10504356
-0.33 11.76 10509608
-0.32 11.72 10514736
-0.30 11.68 10519940
-0.28 11.65 10525264
-0.26 11.61 10530192
-0.25 11.57 10535496
-0.23 11.54 10540512
-0.21 11.50 10545792
-0.19 11.46 10550792
-0.17 11.43 10556048
-0.15 11.39 10561412
-0.14 11.36 10566412
-0.12 11.32 10571660
-0.10 11.29 10576792
-0.08 11.25 10582004
-0.06 11.22 10587332
-0.04 11.18 10592252
-0.02 11.15 10597556
-0.01 11.11 10602580
0.01 11.08 10607780
0.03 11.04 10612864
0.05 11.01 10618036
0.07 10.97 10623372
0.09 10.94 10628300
0.11 10.90 10633600
0.13 10.87 10638612
0.15 10.84 10643816
0.17 10.81 10648916
0.18 10.78 10654160
0.20 10.75 10659524
0.21 10.73 10664520
0.23 10.71 10669756
0.24 10.69 10674808
0.26 10.68 10680060
0.27 10.67 10685420
0.29 10.67 10690352
0.30 10.67 10695616
0.31 10.68 10700664
0.33 10.69 10705868
0.34 10.71 10710976
0.35 10.73 10716240
0.37 10.75 10721588
0.37 10.78 10726592
0.38 10.81 10731844
0.39 10.84 10736876
0.39 10.87 10742128
0.40 10.91 10747508
0.41 10.94 10752436
0.41 10.97 10757744
0.42 11.01 10762760
0.42 11.05 10767964
0.43 11.09 10773060
0.44 11.12 10778308
0.44 11.16 10783680
0.45 11.20 10788668
0.45 11.24 10793924
0.45 11.27 10799048
0.46 11.31 10804264
0.46 11.35 10809584
0.46 11.39 10814524
0.46 11.43 10819824
0.46 11.46 10824832
0.46 11.50 10830028
0.46 11.54 10835124
0.46 11.58 10840308
0.46 11.62 10845636
0.46 11.66 10850576
0.46 11.70 10855876
0.46 11.74 10860892
0.46 11.78 10866172
0.46 11.82 10871172
0.46 11.87 10876440
0.46 11.91 10881796
0.46 11.96 10886808
0.46 12.00 10892048
0.46 12.05 10897100
0.46 12.10 10902360
0.46 12.15 10907372
0.46 12.20 10912596
0.46 12.25 10917868
0.46 12.30 10922852
0.46 12.36 10928108
0.46 12.42 10933264
0.46 12.48 10938464
0.46 12.53 10943792
0.47 12.60 10948728
0.46 12.66 10954032
0.46 12.72 10959040
0.47 12.78 10964244
0.47 12.85 10969344
0.47 12.91 10974596
0.47 12.98 10979940
0.47 13.05 10984932
0.48 13.11 10990196
0.48 13.18 10995344
0.48 13.24 11000536
0.48 13.30 11005852
0.48 13.36 11010788
0.49 13.42 11016096
0.49 13.47 11021112
0.50 13.53 11026324
0.50 13.58 11031408
0.50 13.63 11036660
0.51 13.68 11042012
0.51 13.72 11047008
0.52 13.76 11052260
0.52 13.79 11057388
0.52 13.82 11062592
0.53 13.83 11067908
0.53 13.85 11072840
0.53 13.85 11078148
0.54 13.85 11083160
0.54 13.85 11088360
0.54 13.84 11093472
0.54 13.83 11098816
