.54 56934476
-0.03 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
0.34 15.39 6833788
0.34 15.23 6838964
0.34 15.07 6844188
0.35 14.89 6849120
0.35 14.71 6854432
0.35 14.54 6859440
0.35 14.40 6864648
0.35 14.28 6869724
0.35 14.20 6874888
0.35 14.15 6879848
0.35 14.12 6885084
0.35 14.12 6890292
0.35 14.12 6895244
0.35 14.09 6900548
0.35 14.03 6905512
0.35 13.89 6910676
0.35 13.70 6915708
0.35 13.46 6920908
0.36 13.21 6925768
0.36 12.95 6930936
0.36 12.71 6935888
0.36 12.46 6941140
0.36 12.24 6946396
0.36 12.04 6951372
0.36 11.87 6956604
0.36 11.71 6961664
0.36 11.56 6966912
0.37 11.47 6971916
0.37 11.40 6977144
0.37 11.35 6982412
0.37 11.33 6987400
0.38 11.33 6992616
0.39 11.29 6997692
0.39 11.20 7002936
0.40 11.01 7007936
0.41 10.73 7013168
0.42 10.44 7018424
0.42 10.10 7023416
0.44 9.82 7028576
0.44 9.55 7033564
0.45 9.30 7038632
0.46 9.06 7043576
0.47 8.83 7048640
0.48 8.58 7053580
0.49 8.37 7058648
0.50 8.19 7063576
0.52 8.06 7068636
0.53 7.97 7073580
0.54 7.90 7078640
0.55 7.87 7083676
0.56 7.86 7088748
0.57 7.84 7093780
0.58 7.80 7098832
0.59 7.73 7103864
0.59 7.56 7109000
0.60 7.35 7113952
0.61 7.09 7119100
0.61 6.80 7124320
0.62 6.50 7129200
0.62 12.49 7134500
0.63 5.86 7139432
0.64 5.47 7144672
0.64 4.99 7149584
0.65 4.57 7154684
0.65 4.18 7159640
0.65 3.92 7164712
0.66 3.81 7169652
0.66 3.83 7174724
0.66 3.97 7179668
0.66 4.18 7184728
0.66 4.45 7189668
0.66 4.67 7194728
0.66 4.84 7199660
0.65 4.83 7204728
0.65 4.67 7209668
0.65 4.39 7214824
0.64 4.04 7219756
0.63 3.68 7224828
0.62 3.33 7229768
0.62 2.98 7234836
0.61 2.62 7239772
0.60 2.23 7244840
0.59 1.81 7249768
0.57 1.43 7254836
0.56 1.18 7259776
0.55 1.10 7264840
0.55 1.17 7269784
0.53 1.37 7274932
0.51 1.70 7279940
0.50 2.04 7284956
0.48 2.33 7289968
0.46 2.52 7295008
0.44 2.60 7300008
0.41 2.57 7305148
0.39 2.43 7310144
0.37 2.17 7315284
0.34 1.81 7320500
0.31 1.38 7325384
0.28 1.00 7330612
0.25 0.71 7335452
0.21 0.55 7340656
0.18 0.53 7345464
0.15 0.63 7350664
0.12 0.84 7355472
0.10 1.15 7360672
0.09 1.56 7365464
0.07 1.97 7370660
0.05 2.35 7375468
0.02 2.58 7380656
-0.01 2.72 7385480
-0.03 2.73 7390684
-0.06 2.64 7395604
-0.09 2.49 7400808
-0.12 2.25 7405792
-0.14 1.99 7410920
-0.17 1.73 7415884
-0.20 1.54 7420952
-0.23 1.49 7425884
-0.26 1.61 7430952
-0.30 1.86 7435900
-0.34 2.17 7440976
-0.37 2.53 7446000
-0.40 2.86 7451068
-0.42 3.20 7456096
-0.44 3.55 7461276
-0.46 3.93 7466272
-0.48 4.37 7471432
-0.50 4.77 7476648
-0.52 5.06 7481520
-0.55 5.18 7486812
-0.57 5.13 7491708
-0.59 4.96 7496896
-0.62 4.73 7501888
-0.64 4.51 7507012
