RSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
0.25 15.84 7908680
0.25 15.81 7914188
0.25 15.78 7920092
0.25 15.75 7925932
0.25 15.72 7931668
0.25 15.69 7937092
0.25 15.66 7942936
0.25 15.63 7948692
0.25 15.60 7954204
0.25 15.57 7960036
0.26 15.54 7965988
0.26 15.50 7971872
0.26 15.47 7977716
0.26 15.43 7983236
0.27 15.40 7989056
0.27 15.36 7995032
0.27 15.32 8000948
0.27 15.28 8006776
0.27 15.24 8012284
0.28 15.20 8018104
0.28 15.16 8024088
0.29 15.12 8029972
0.29 15.09 8035832
0.29 15.05 8041348
0.30 15.00 8047180
0.30 14.95 8053156
0.31 14.89 8059032
0.31 14.84 8064904
0.31 14.80 8070420
0.32 14.75 8076244
0.32 14.69 8082212
0.32 14.64 8088120
0.33 14.59 8093976
0.33 14.55 8099488
0.33 14.50 8105304
0.34 14.46 8111296
0.34 14.42 8117192
0.34 14.39 8123052
0.34 14.35 8128980
0.35 14.32 8134560
0.35 14.29 8140376
0.35 14.26 8146348
0.35 14.24 8152236
0.35 14.23 8158096
0.35 14.23 8163528
0.35 14.23 8169324
0.35 14.23 8175140
0.35 14.23 8180648
0.35 14.23 8186476
0.35 14.23 8192332
0.35 14.24 8198184
0.35 14.24 8203604
0.35 14.24 8209456
0.35 14.24 8215340
0.35 14.25 8221208
0.35 14.25 8226720
0.35 14.26 8232552
0.35 14.26 8238512
0.35 14.26 8244356
0.36 14.26 8250252
0.36 14.26 8255776
0.36 14.25 8261588
0.36 14.24 8267572
0.36 14.23 8273476
0.37 14.21 8279348
0.37 14.20 8285264
0.37 14.18 8290844
0.37 14.16 8296672
0.37 14.13 8302652
0.38 14.09 8308540
0.38 14.06 8314408
0.38 14.02 8319912
0.38 13.98 8325740
0.39 13.93 8331692
0.39 13.88 8337580
0.39 13.83 8343604
0.39 13.78 8349444
0.40 13.74 8354968
0.40 13.69 8360784
0.40 13.64 8366772
0.40 13.58 8372680
0.40 13.53 8378532
0.41 13.49 8384036
0.41 13.44 8389868
0.41 13.40 8395836
0.41 13.35 8401740
0.42 13.31 8407612
0.42 13.26 8413528
0.42 13.22 8419124
0.42 13.17 8425028
0.42 13.13 8430880
0.42 13.09 8436768
0.43 13.05 8442612
0.43 13.01 8448132
0.43 12.98 8453948
0.43 12.94 8459816
0.43 12.91 8465688
0.43 12.87 8471600
0.43 12.83 8477180
0.44 12.80 8483000
0.44 12.76 8488996
0.44 12.73 8494740
0.44 12.70 8500256
0.44 12.66 8506068
0.44 12.62 8512048
0.44 12.59 8517952
0.44 12.55 8523788
0.44 12.51 8529696
0.44 12.48 8535196
0.44 12.45 8541040
0.44 12.41 8546952
0.44 12.37 8552812
0.44 12.33 8558232
0.44 12.29 8564076
0.44 12.24 8569968
0.44 12.19 8575828
0.44 12.15 8581336
0.44 12.09 8587144
0.44 12.04 8593024
0.44 11.99 8598892
0.44 11.93 8604392
0.44 11.87 8610224
0.44 11.81 8616204
0.44 11.73 8622100
0.45 11.67 8627956
0.45 11.59 8633876
0.45 11.52 8639456
0.45 11.44 8645280
0.45 11.36 8651248
0.45 11.28 8657152
0.46 11.20 8662996
0.46 11.12 8668516
0.46 11.04 8674316
0.46 10.96 8680288
0.46 10.87 8686184
0.47 10.80 8692056
0.47 10.72 8697568
0.47 10.66 8703400
0.47 10.59 8709376
0.48 10.52 8715272
0.48 10.46 8721132
0.48 10.41 8727056
0.48 10.36 8732636
0.49 10.30 8738472
0.49 10.25 8744432
0.49 10.21 8750324
0.50 10.16 8756184
0.50 10.12 8762096
0.50 10.10 8767692
0.50 10.08 8773492
0.50 10.05 8779476
0.50 10.02 8785384
0.51 10.00 8791212
0.51 9.99 8796676
0.51 9.98 8802432
0.51 9.96 8808176
0.51 9.94 8813584
0.51 9.94 8819312
0.51 9.93 8824820
0.51 9.92 8830600
0.51 9.91 8836476
0.51 9.91 8842252
0.51 9.90 8847640
0.51 9.88 8853388
0.51 9.87 8858888
0.51 9.86 8864672
0.51 9.85 8870428
0.51 9.84 8875924
0.51 9.83 8881600
0.51 9.82 8887456
0.51 9.81 8892960
0.51 9.80 8898628
0.51 9.78 8904488
0.51 9.77 8910000
0.51 9.75 8915664
0.51 9.73 8921388
0.51 9.71 8926884
0.51 9.68 8932632
0.51 9.66 8938372
0.52 9.63 8943880
0.52 9.61 8949628
0.52 9.58 8955388
0.52 9.55 8960876
0.52 9.52 8966644
0.52 9.48 8972392
0.52 9.45 8977792
0.52 9.42 8983556
0.52 9.38 8989020
0.52 9.35 8994700
0.52 9.31 9000572
0.52 9.27 9006064
0.52 9.24 9011840
0.52 9.19 9017696
0.52 9.15 9023424
0.52 9.10 9028932
0.52 9.06 9034692
0.52 9.01 9040452
0.52 8.96 9045852
0.52 8.91 9051616
0.52 8.87 9057104
0.52 8.82 9062868
0.52 8.77 9068624
0.52 8.71 9074128
0.52 8.64 9079804
0.52 8.57 9085664
0.52 8.51 9091172
0.52 8.44 9096952
0.52 8.36 9102716
0.52 8.29 9108188
0.52 8.22 9113864
0.52 8.14 9119576
0.52 8.06 9124984
0.52 7.99 9130744
0.52 7.91 9136248
0.52 7.83 9141920
0.52 7.75 9147804
0.52 7.68 9153280
0.52 7.61 9158964
0.52 7.54 9164684
0.52 7.46 9170104
0.52 7.40 9175944
0.52 7.34 9181708
0.52 7.28 9187096
0.52 7.22 9192960
0.52 7.17 9198712
0.52 7.11 9204200
0.52 7.05 9209960
0.52 6.99 9215708
0.52 6.95 9221112
0.52 6.89 9226868
0.52 6.85 9232344
0.52 6.80 9238128
0.52 6.76 9243984
0.52 6.72 9249728
0.52 6.68 9255136
0.52 6.64 9260876
0.52 6.60 9266376
0.52 6.56 9272052
0.52 6.52 9277772
0.52 6.49 9283172
0.52 6.45 9288936
0.52 6.41 9294404
0.52 6.37 9300084
0.52 6.34 9305936
0.52 6.30 9311820
0.52 6.26 9317208
0.52 6.22 9322952
0.52 6.19 9328452
0.52 6.15 9334128
0.52 6.11 9339996
0.52 6.07 9345488
0.52 6.03 9351164
0.52 5.99 9357032
0.52 5.94 9362532
0.52 5.88 9368196
0.52 5.84 9374084
0.52 5.78 9379552
0.52 5.73 9385224
0.52 5.67 9390944
0.52 5.62 9396352
0.52 5.55 9402096
0.52 5.49 9407604
0.52 5.42 9413276
0.52 5.35 9419156
0.52 5.27 9424624
0.52 5.20 9430292
0.52 5.11 9436012
0.52 5.04 9441420
0.52 4.96 9447176
0.52 4.87 9452656
0.52 4.79 9458320
0.52 4.71 9464200
0.52 4.62 9469672
0.52 4.54 9475340
0.52 4.46 9481056
0.52 4.39 9486468
0.52 4.32 9492208
0.52 4.23 9497716
0.52 4.17 9503496
0.52 4.11 9509248
0.52 4.04 9514764
0.52 3.98 9520540
0.52 3.93 9526268
0.52 3.87 9531800
0.52 3.82 9537584
0.52 3.77 9543320
0.52 3.73 9548828
0.52 3.70 9554504
0.52 3.66 9560212
0.52 3.62 9565708
0.52 3.58 9571468
0.52 3.54 9577224
0.52 3.50 9582636
0.52 3.47 9588384
0.52 3.43 9593888
0.52 3.41 9599568
0.52 3.38 9605264
0.52 3.35 9610664
0.52 3.33 9616408
0.52 3.30 9621908
0.52 3.27 9627596
0.52 3.24 9633300
0.52 3.22 9638692
0.52 3.19 9644456
0.52 3.17 9649932
0.52 3.14 9655596
0.52 3.12 9661296
0.52 3.10 9666708
0.52 3.08 9672440
0.52 3.06 9677964
0.52 3.04 9683640
0.52 3.02 9689524
0.52 3.00 9695364
0.52 2.98 9700768
0.52 2.96 9706516
0.52 2.94 9712392
0.51 2.92 9717896
0.51 2.91 9723640
0.51 2.89 9729396
0.50 2.87 9734892
0.50 2.85 9740652
0.50 2.83 9746396
0.50 2.81 9751896
0.49 2.79 9757644
0.49 2.77 9763404
0.48 2.76 9768892
0.48 2.75 9774660
0.47 2.73 9780408
0.46 2.72 9785892
0.46 2.70 9791640
0.45 2.69 9797388
0.45 2.67 9802896
0.44 2.65 9808644
0.43 2.63 9814404
0.43 2.61 9819900
0.42 2.59 9825656
0.41 2.57 9831400
0.40 2.55 9836904
0.40 2.53 9842656
